,order_id,customer_state,product_category_name,product_weight_g,review_score,price,freight_value,payment_value,order_approved_at,order_purchase_timestamp
0,00010242fe8c5a6d1ba2dd792cb16214,RJ,cool_stuff,650.0,5,58.9,13.29,72.19,2017-09-13 09:45:35,2017-09-13 08:59:02
1,130898c0987d1801452a8ed92a670612,GO,cool_stuff,650.0,5,55.9,17.96,73.86,2017-06-29 02:44:11,2017-06-28 11:52:20
2,532ed5e14e24ae1f0d735b91524b98b9,MG,cool_stuff,650.0,4,64.9,18.33,83.23,2018-05-18 12:31:43,2018-05-18 10:25:53
3,6f8c31653edb8c83e1a739408b5ff750,PR,cool_stuff,650.0,5,58.9,16.17,75.07,2017-08-01 18:55:08,2017-08-01 18:38:42
4,7d19f4ef4d04461989632411b7e588b9,MG,cool_stuff,650.0,5,58.9,13.29,72.19,2017-08-10 22:05:11,2017-08-10 21:48:40
5,a0f9acf0b6294ed8561e32cde1a966bc,BA,cool_stuff,650.0,5,55.9,26.93,82.83,2017-07-28 15:23:46,2017-07-27 15:11:51
6,bbf796534aaf9c59f8da8c7982db56e0,BA,cool_stuff,650.0,5,64.9,38.5,103.4,2018-03-20 03:28:44,2018-03-18 21:00:44
7,c9ef97d2854afe64a3b4488bc2836af6,GO,cool_stuff,650.0,5,58.9,18.12,153.75,2017-08-08 04:25:34,2017-08-05 16:59:05
8,c9ef97d2854afe64a3b4488bc2836af6,GO,cool_stuff,530.0,5,58.9,17.83,153.75,2017-08-08 04:25:34,2017-08-05 16:59:05
9,df2d910b8b5e5f461f67043489f9569d,PE,cool_stuff,650.0,1,55.9,35.71,20.0,2017-06-05 14:31:21,2017-06-05 12:22:19
10,df2d910b8b5e5f461f67043489f9569d,PE,cool_stuff,650.0,1,55.9,35.71,20.0,2017-06-05 14:31:21,2017-06-05 12:22:19
11,df2d910b8b5e5f461f67043489f9569d,PE,cool_stuff,650.0,1,55.9,35.71,51.61,2017-06-05 14:31:21,2017-06-05 12:22:19
12,0191bbb5166d4b9a68df11797d5acfa9,RS,cool_stuff,2275.0,5,132.9,20.17,153.07,2017-08-10 12:30:15,2017-08-10 12:17:35
13,8a4df9820e049472302bf6362daecb8b,RJ,cool_stuff,2275.0,5,125.9,12.84,138.74,2017-08-07 13:03:05,2017-08-07 12:28:44
14,9bd5ab93fc163dd17a9d531c39806e05,SP,cool_stuff,2275.0,5,132.9,21.42,154.32,2017-09-27 21:14:23,2017-09-27 21:06:52
15,c0e6a4b9d9b4fb7364f6010863708cbd,CE,cool_stuff,2275.0,5,132.9,43.34,176.24,2017-09-28 18:49:20,2017-09-28 18:30:29
16,d24633e7c227ea7a234d568eefb493a9,MG,cool_stuff,2275.0,4,132.9,21.42,154.32,2017-09-24 00:24:40,2017-09-23 23:59:42
17,0188777fe321843a18be24a6e9aa1e53,RJ,cool_stuff,530.0,5,55.9,9.94,65.84,2017-07-25 14:35:11,2017-07-23 16:13:37
18,d829ae9ca5e0a9749f2574b62eb7ac10,BA,cool_stuff,530.0,5,55.9,27.99,167.51,2017-07-13 02:56:03,2017-07-12 12:04:28
19,d829ae9ca5e0a9749f2574b62eb7ac10,BA,cool_stuff,575.0,5,55.9,27.72,167.51,2017-07-13 02:56:03,2017-07-12 12:04:28
20,03054d8a8eefc2981cfad06f58e27979,SP,cool_stuff,400.0,5,58.9,15.16,74.06,2017-10-03 10:35:11,2017-10-02 10:25:22
21,26ab105de6689a556ce3ab6932ee68e6,RJ,cool_stuff,400.0,5,54.9,9.27,64.17,2017-07-19 20:55:09,2017-07-19 20:42:33
22,7766424657aa0cfbf1703f9550144964,RJ,cool_stuff,400.0,5,55.9,9.27,65.17,2017-08-08 11:43:36,2017-08-08 11:24:19
23,a72c3152ab2259acdae64303a9a12efc,AL,cool_stuff,400.0,5,58.9,34.21,93.11,2017-09-05 20:55:20,2017-09-05 20:42:50
24,a975758d17a9e095a496f4283d9c3aca,SP,cool_stuff,400.0,4,55.9,15.14,71.04,2017-08-03 15:50:18,2017-08-03 14:34:26
25,e243ea7648d08ca3d860047e7ec10a51,RJ,cool_stuff,400.0,3,54.9,12.38,67.28,2017-06-20 10:15:11,2017-06-20 10:01:07
26,e3aa3b61037e281dedb26da2882983ae,SP,cool_stuff,400.0,5,54.9,15.13,70.03,2017-05-25 01:22:31,2017-05-25 00:27:30
27,38da3029219c1f40f3eaaae897430c3f,SP,brinquedos,1167.0,5,139.9,18.23,158.13,2017-09-06 03:03:58,2017-09-05 07:54:09
28,3c31094fbd7da6168cc190beedf23888,RS,brinquedos,1167.0,3,139.9,20.22,160.12,2017-10-17 03:46:00,2017-10-16 15:39:28
29,4da38cd7084ce9fdeae2412858379255,RO,brinquedos,1167.0,3,139.9,38.53,178.43,2017-10-11 00:56:24,2017-10-11 00:19:17
30,51bba23b6fd5b430636450f273aadd8a,GO,brinquedos,1167.0,5,139.9,20.22,160.12,2017-10-03 15:36:59,2017-10-03 15:16:25
31,686167f2fe956e81a6bbf02cf8885516,RJ,brinquedos,1167.0,5,139.9,12.93,152.83,2017-10-28 16:05:59,2017-10-28 15:50:49
32,8fc1991bfbb78b4d939d11ffef79c398,BA,brinquedos,1167.0,4,139.9,29.38,136.16,2017-10-26 22:55:10,2017-10-26 22:41:09
33,8fc1991bfbb78b4d939d11ffef79c398,BA,brinquedos,1167.0,4,139.9,29.38,33.12,2017-10-26 22:55:10,2017-10-26 22:41:09
34,b8ed227712b7665deac44bd9a5fc6a6f,ES,brinquedos,1167.0,5,139.9,18.23,158.13,2017-10-04 02:44:01,2017-10-03 16:13:38
35,d3037ef55ee7f4d6c892da7493f4912f,RJ,brinquedos,1167.0,5,139.9,14.57,154.47,2017-05-17 16:22:22,2017-05-17 16:12:44
36,e36361f00e1c093432050d4a52860c8f,MG,brinquedos,1167.0,1,139.9,18.23,158.13,2017-10-01 09:24:37,2017-10-01 09:09:22
37,fbf096edf8034d915770443bb21bfad4,RS,brinquedos,1167.0,5,139.9,21.61,161.51,2017-04-17 21:10:14,2017-04-17 20:55:31
38,0c325ea6925de749e1420be0cf43587c,SP,brinquedos,600.0,4,139.9,16.74,156.64,2017-07-01 15:43:50,2017-07-01 15:27:23
39,54f17a6fb99f59adc37b22166a7f1871,SP,brinquedos,600.0,4,185.03,20.49,205.52,2018-06-26 05:12:51,2018-06-24 06:58:28
40,a45087c16cf11897252052baabb332c0,SP,brinquedos,600.0,5,149.9,16.81,166.71,2017-09-02 21:50:24,2017-09-02 21:36:53
41,f2664c7a8066f3a82b36c7c8f916eab4,BA,brinquedos,600.0,5,144.9,27.55,172.45,2017-08-04 21:05:18,2017-08-04 20:50:47
42,f9c50aff44ed91808d5b511bd49106ec,RJ,brinquedos,600.0,5,149.9,10.46,160.36,2017-08-17 15:50:16,2017-08-17 13:34:55
43,122e2899f5b25c99d52cece91999b676,SC,cool_stuff,500.0,5,48.9,17.92,66.82,2017-08-16 03:24:57,2017-08-14 20:28:35
44,1a45c130db33df3cb0e3cd16f0a8ae9d,PR,cool_stuff,500.0,5,48.9,12.88,130.01,2017-08-04 02:25:21,2017-08-02 19:58:33
45,1a45c130db33df3cb0e3cd16f0a8ae9d,PR,cool_stuff,650.0,5,48.9,19.33,130.01,2017-08-04 02:25:21,2017-08-02 19:58:33
46,30a0d918b3ba882cd4f3557a0ac1182c,GO,cool_stuff,500.0,4,48.9,17.92,66.82,2017-09-06 18:25:07,2017-09-06 18:08:22
47,34a9dd848ef0ebd4ae4b60d31720497d,SP,cool_stuff,500.0,1,48.9,16.11,65.01,2017-10-14 12:13:47,2017-10-14 11:51:19
